,State,District,Year,Civilians,Security Forces,Terrorists/Insurgents/Extremists,Not Specified,Total Fatalities,Funds Released,Annual Allocation,Rural Literacy Rate,Geographical area,Very dense forest,Moderately dense forest,Open forest,Total Forest Cover,Actual Rainfall (mm),Ruggedness Minimum,Ruggedness Maximum,Ruggednness Range,Ruggedness Mean,Ruggednness Std. Dev,Ruggedness Sum,Pollution (μg/m3)
1,Andhra Pradesh,Adilibad,2007,0,0,0,0,0,23.99,26.54,0.487489525,16128,127,3650,2307,6084,1016.72,0,597.9238892,597.9238892,55.13203072,58.91780925,892642.7094,34.49175847
2,Andhra Pradesh,Adilibad,2008,0,0,0,0,0,19.23,26.54,0.487489525,16128,127,3648.25,2304.25,6079.5,1153.65,0,597.9238892,597.9238892,55.13203072,58.91780925,892642.7094,38.09240082
3,Andhra Pradesh,Adilibad,2009,0,0,3,0,3,26.54,26.54,0.487489525,16128,127,3646.5,2301.5,6075,739.55,0,597.9238892,597.9238892,55.13203072,58.91780925,892642.7094,33.77556705
4,Andhra Pradesh,Adilibad,2010,0,0,0,0,0,26.54,26.54,0.487489525,16128,127,3644.75,2298.75,6070.5,1552.41,0,597.9238892,597.9238892,55.13203072,58.91780925,892642.7094,32.03288985
5,Andhra Pradesh,Adilibad,2011,0,0,1,0,1,29.88,29.88,0.487489525,16128,127,3643,2296,6066,817.9,0,597.9238892,597.9238892,55.13203072,58.91780925,892642.7094,33.40406406
6,Andhra Pradesh,Adilibad,2012,0,0,0,0,0,18.57,29.88,0.487489525,16128,127,3640.5,2288,6055.5,1183.31,0,597.9238892,597.9238892,55.13203072,58.91780925,892642.7094,33.86839409
7,Andhra Pradesh,Adilibad,2013,0,0,0,0,0,0,36.64,0.487489525,16128,127,3638,2280,6045,1777.77,0,597.9238892,597.9238892,55.13203072,58.91780925,892642.7094,37.64241226
8,Andhra Pradesh,Anantapur,2007,0,0,1,0,1,28.42,31.47,0.526801972,19130,0,73,353,426,823.37,0,829.9765015,829.9765015,64.41953857,72.57290502,1238143.531,26.08935395
9,Andhra Pradesh,Anantapur,2008,0,0,0,0,0,23.4,31.47,0.526801972,19130,0,90.5,400.5,491,732.84,0,829.9765015,829.9765015,64.41953857,72.57290502,1238143.531,27.28206279
10,Andhra Pradesh,Anantapur,2009,0,0,0,0,0,31.47,31.47,0.526801972,19130,0,108,448,556,642.27,0,829.9765015,829.9765015,64.41953857,72.57290502,1238143.531,26.07322914
11,Andhra Pradesh,Anantapur,2010,0,0,0,0,0,31.47,31.47,0.526801972,19130,0,125.5,495.5,621,851.93,0,829.9765015,829.9765015,64.41953857,72.57290502,1238143.531,23.29637273
12,Andhra Pradesh,Anantapur,2011,0,0,0,0,0,35.8,35.8,0.526801972,19130,0,143,543,686,517.96,0,829.9765015,829.9765015,64.41953857,72.57290502,1238143.531,25.58897935
13,Andhra Pradesh,Anantapur,2012,0,0,0,0,0,14.96,35.8,0.526801972,19130,0,143,543,686,536.57,0,829.9765015,829.9765015,64.41953857,72.57290502,1238143.531,25.29411429
14,Andhra Pradesh,Anantapur,2013,0,0,0,0,0,36.92,43.91,0.526801972,19130,0,143,543,686,535.65,0,829.9765015,829.9765015,64.41953857,72.57290502,1238143.531,28.93650507
15,Andhra Pradesh,Chittoor,2007,0,0,0,0,0,26.2,29,0.597148584,15151,7,929,1463,2399,1113.28,1,1337.386597,1336.386597,124.7005443,142.263298,1895572.973,26.13560286
16,Andhra Pradesh,Chittoor,2008,0,0,0,0,0,20.85,29,0.597148584,15151,5.25,1010,1426.75,2442,1042.02,1,1337.386597,1336.386597,124.7005443,142.263298,1895572.973,26.60907455
17,Andhra Pradesh,Chittoor,2009,0,0,0,0,0,29,29,0.597148584,15151,3.5,1091,1390.5,2485,826.93,1,1337.386597,1336.386597,124.7005443,142.263298,1895572.973,25.04478624
18,Andhra Pradesh,Chittoor,2010,0,0,0,0,0,29,29,0.597148584,15151,1.75,1172,1354.25,2528,1138.11,1,1337.386597,1336.386597,124.7005443,142.263298,1895572.973,23.80690817
19,Andhra Pradesh,Chittoor,2011,0,0,0,0,0,32.85,32.85,0.597148584,15151,0,1253,1318,2571,1008.89,1,1337.386597,1336.386597,124.7005443,142.263298,1895572.973,25.30185783
20,Andhra Pradesh,Chittoor,2012,0,0,0,0,0,32.85,32.85,0.597148584,15151,0,1252,1319,2571,981.15,1,1337.386597,1336.386597,124.7005443,142.263298,1895572.973,23.42862779
21,Andhra Pradesh,Chittoor,2013,0,0,0,0,0,26.91,40.29,0.597148584,15151,0,1251,1320,2571,855.48,1,1337.386597,1336.386597,124.7005443,142.263298,1895572.973,28.40207282
22,Andhra Pradesh,Cuddapah,2007,0,0,2,0,2,23.95,26.5,0.558154441,15359,9,1898,1502,3409,1209.92,0,1051.898804,1051.898804,132.5861449,137.2926105,2030026.464,26.79787502
23,Andhra Pradesh,Cuddapah,2008,0,0,0,0,0,20,26.5,0.558154441,15359,8.75,2036,1536.75,3581.5,885.06,0,1051.898804,1051.898804,132.5861449,137.2926105,2030026.464,27.64974235
24,Andhra Pradesh,Cuddapah,2009,0,0,1,0,1,26.5,26.5,0.558154441,15359,8.5,2174,1571.5,3754,816.01,0,1051.898804,1051.898804,132.5861449,137.2926105,2030026.464,27.68320861
25,Andhra Pradesh,Cuddapah,2010,0,0,0,0,0,26.5,26.5,0.558154441,15359,8.25,2312,1606.25,3926.5,1060.7,0,1051.898804,1051.898804,132.5861449,137.2926105,2030026.464,25.22425524
26,Andhra Pradesh,Cuddapah,2011,0,0,0,0,0,29.83,29.83,0.558154441,15359,8,2450,1641,4099,771.31,0,1051.898804,1051.898804,132.5861449,137.2926105,2030026.464,26.56511123
27,Andhra Pradesh,Cuddapah,2012,0,0,0,0,0,27.79,29.83,0.558154441,15359,8,2449.5,1640.5,4098,659.47,0,1051.898804,1051.898804,132.5861449,137.2926105,2030026.464,24.66356048
28,Andhra Pradesh,Cuddapah,2013,0,0,0,0,0,29.25,36.58,0.558154441,15359,8,2449,1640,4097,700.53,0,1051.898804,1051.898804,132.5861449,137.2926105,2030026.464,29.09202026
29,Andhra Pradesh,Karimnagar,2007,2,0,0,0,2,23.42,25.92,0.544515767,11823,0,980,703,1683,778.13,0,464.4825134,464.4825134,33.46486175,41.02991466,397428.6981,32.22049164
30,Andhra Pradesh,Karimnagar,2008,2,0,4,3,9,18.91,25.92,0.544515767,11823,0,979.75,702,1681.75,1225.03,0,464.4825134,464.4825134,33.46486175,41.02991466,397428.6981,35.78093519
31,Andhra Pradesh,Karimnagar,2009,1,0,0,0,1,25.92,25.92,0.544515767,11823,0,979.5,701,1680.5,781.18,0,464.4825134,464.4825134,33.46486175,41.02991466,397428.6981,31.43331871
32,Andhra Pradesh,Karimnagar,2010,2,0,0,0,2,25.92,25.92,0.544515767,11823,0,979.25,700,1679.25,1400.71,0,464.4825134,464.4825134,33.46486175,41.02991466,397428.6981,29.75897713
33,Andhra Pradesh,Karimnagar,2011,0,0,0,0,0,28.63,29.14,0.544515767,11823,0,979,699,1678,595.6,0,464.4825134,464.4825134,33.46486175,41.02991466,397428.6981,30.8652484
34,Andhra Pradesh,Karimnagar,2012,2,0,0,0,2,29.14,29.14,0.544515767,11823,0,976.5,697,1673.5,1025.42,0,464.4825134,464.4825134,33.46486175,41.02991466,397428.6981,30.84554189
35,Andhra Pradesh,Karimnagar,2013,1,0,0,0,1,26.48,35.75,0.544515767,11823,0,974,695,1669,1536.59,0,464.4825134,464.4825134,33.46486175,41.02991466,397428.6981,34.25850203
36,Andhra Pradesh,Khammam,2007,3,1,13,3,20,24.18,26.76,0.536798977,16029,28,5212,1872,7112,801.75,2.645751238,1098.645508,1095.999757,96.87758932,111.9854907,1557016.616,29.13845565
37,Andhra Pradesh,Khammam,2008,6,0,12,1,19,19.97,26.76,0.536798977,16029,28,5189,1849.5,7066.5,1461.65,2.645751238,1098.645508,1095.999757,96.87758932,111.9854907,1557016.616,32.28408065
38,Andhra Pradesh,Khammam,2009,5,0,2,0,7,26.76,26.76,0.536798977,16029,28,5166,1827,7021,795.34,2.645751238,1098.645508,1095.999757,96.87758932,111.9854907,1557016.616,30.35377366
39,Andhra Pradesh,Khammam,2010,6,0,2,0,8,26.76,26.76,0.536798977,16029,28,5143,1804.5,6975.5,1868.55,2.645751238,1098.645508,1095.999757,96.87758932,111.9854907,1557016.616,27.49589456
40,Andhra Pradesh,Khammam,2011,0,0,4,0,4,16.65,30.15,0.536798977,16029,28,5120,1782,6930,917.39,2.645751238,1098.645508,1095.999757,96.87758932,111.9854907,1557016.616,28.70951025
41,Andhra Pradesh,Khammam,2012,2,0,1,0,3,35.73,30.15,0.536798977,16029,28,5061.5,1752,6841.5,1620.99,2.645751238,1098.645508,1095.999757,96.87758932,111.9854907,1557016.616,28.16956765
42,Andhra Pradesh,Khammam,2013,2,1,0,0,3,31.41,36.98,0.536798977,16029,28,5003,1722,6753,1374.2,2.645751238,1098.645508,1095.999757,96.87758932,111.9854907,1557016.616,32.70283096
43,Andhra Pradesh,Mahboobnagar,2007,1,0,0,1,2,27.6,30.56,0.441692189,18432,329,538,1077,1944,826.63,3.162277699,841.8521118,838.6898341,55.26423091,69.99511891,1023383.028,29.02106457
44,Andhra Pradesh,Mahboobnagar,2008,1,0,0,0,1,22.57,30.56,0.441692189,18432,329,537.75,1076.75,1943.5,791.07,3.162277699,841.8521118,838.6898341,55.26423091,69.99511891,1023383.028,30.80212099
45,Andhra Pradesh,Mahboobnagar,2009,0,0,0,0,0,30.56,30.56,0.441692189,18432,329,537.5,1076.5,1943,743.77,3.162277699,841.8521118,838.6898341,55.26423091,69.99511891,1023383.028,30.1693218
46,Andhra Pradesh,Mahboobnagar,2010,0,0,0,0,0,30.56,30.56,0.441692189,18432,329,537.25,1076.25,1942.5,812.73,3.162277699,841.8521118,838.6898341,55.26423091,69.99511891,1023383.028,26.97301762
47,Andhra Pradesh,Mahboobnagar,2011,0,0,0,0,0,34.71,34.71,0.441692189,18432,329,537,1076,1942,548.67,3.162277699,841.8521118,838.6898341,55.26423091,69.99511891,1023383.028,28.81366614
48,Andhra Pradesh,Mahboobnagar,2012,0,0,0,0,0,34.71,34.71,0.441692189,18432,329,537,1076,1942,658.18,3.162277699,841.8521118,838.6898341,55.26423091,69.99511891,1023383.028,28.03326612
