District,Geo-graphical Area,2013 Assessment - Very Dense Forest,2013 Assessment - Mod. Dense Forest,2013 Assessment - Open Forest,2013 Assessment - Total,Percent of GA,Change,Scrub
Bokaro,"1,929",60,232,273,565,29.39,5,39
Chatra,"3,732",250,868,662,"1,780",47.7,3,19
Deoghar1,"2,479",0,14,189,203,9.16,34,8
Dhanbad,"2,996",0,44,158,202,6.74,-3,19
Dumka,"6,212",0,279,384,663,10.83,26,55
Garhwa,"4,092",124,411,855,"1,390",33.97,25,62
Giridih,"4,963",77,339,469,885,18.72,21,21
Godda,"2,110",13,268,127,408,19.34,9,22
GumlaT,"9,077",323,916,"1,419","2,658",29.28,1,34
Hazaribag,"5,998",271,632,"1,185","2,088",34.91,26,38
Kodarma,"1,435",68,321,209,598,41.67,2,2
Lohardaga1,"1,491",173,217,109,499,33.47,-4,10
Pakaur1,"1,571",3,174,111,288,18.33,5,20
Palamu1,"8,657",531,"1,826","1,229","3,586",41.42,59,98
PaschimiSingbhum1,"9,907",484,"1,560","1,870","3,914",39.75,73,77
PurbiSingbhum1,"3,533",52,587,430,"1,069",31.56,-9,29
Ranchf,"7,698",139,712,"1,233","2,084",28.42,180,50
Sahibganj,"1,834",19,267,307,593,32.33,43,67
Grand Total,"79,714","2,587","9,667","11,219","23,473",29.77,496,670
