District,Geo-graphical Area,2013 Assessment - Very Dense Forest,2013 Assessment - Mod. Dense Forest,2013 Assessment - Open Forest,2013 Assessment - Total,Percent of GA,Change,Scrub
Adilabad1,"16,128",127,"3,638","2,280","6,045",37.48,-21,4
Anantapur,"19,130",0,143,543,686,3.59,0,718
Chittoor,"15,151",0,"1,251","1,320","2,571",16.97,0,"1,562"
Cuddapah,"15,359",8,"2,449","1,640","4,097",26.67,-2,"1,145"
East Godavarf,"10,807",72,"2,513",962,"3,547",32.82,-2,167
Guntur,"11,391",0,219,645,864,7.58,0,390
Hyderabad and Rangareddy,"7,710",0,47,340,387,5.02,-4,249
Karimnagar,"11,823",0,974,695,"1,669",14.12,-9,365
Khammam1,"16,029",28,"5,003","1,722","6,753",42.13,-177,39
Krishna,"8,727",0,83,230,313,3.59,0,213
Kurnool,"17,658",72,"1,488",549,"2,109",11.94,0,623
Mahaboobnagar,"18,432",329,537,"1,076","1,942",10.54,0,323
Medak,"9,700",0,79,501,580,5.98,-5,139
Nalgonda,"14,240",0,12,142,154,1.08,0,359
Nellore,"13,076",4,428,758,"1,190",9.1,-3,734
Nizamabad,"7,956",0,217,973,"1,190",14.96,-6,139
Prakasam,"17,626",198,"1,687","1,416","3,301",18.73,-6,"1,142"
Srikakulam1,"5,837",0,108,508,616,10.55,0,471
Vijainagaram1,"6,539",0,145,604,749,11.45,2,342
Vishakhapatnam1,"11,161",0,"2,053","1,386","3,439",30.81,0,"1,064"
Warangal1,"12,847",0,"2,409",630,"3,039",23.66,-29,153
West Godavarf,"7,742",12,596,267,875,11.3,-11,24
Grand Total,"2,75,069",850,"26,079","19,187","46,116",16.77,-273,"10,465"
