District,Geo-graphical Area,2013 Assessment - Very Dense Forest,2013 Assessment - Mod. Dense Forest,2013 Assessment - Open Forest,2013 Assessment - Total,Percent of GA,Change,Scrub,
Bankura1,"6,882",222,365,657,"1,244",18.08,188,27,
Bardhman1,"7,024",61,89,169,319,4.54,58,7,
Birbhum1,"4,545",1,30,145,176,3.87,71,9,
Kolkata,185,0,0,0,0,0,0,0,
Coochbehar,"3,387",0,27,321,348,10.27,254,0,
Dakshin Dinajpur1,"2,219",0,5,82,87,3.92,72,0,
Darjeeling™,"3,149",724,650,"1,004","2,378",75.52,89,5,
Howrah,"1,467",0,50,254,304,20.72,158,0,
Hoogli,"3,149",0,14,146,160,5.08,99,0,
Jalpaigurf,"6,227",720,440,"1,703","2,863",45.98,359,31,
MaldaT,"3,733",0,214,290,504,13.5,340,0,
Medinipur1,"14,081",218,802,"1,964","2,984",21.19,388,10,
Murshidabad1,"5,324",0,54,294,348,6.54,241,1,
Nadia,"3,927",1,159,319,479,12.2,350,0,
North 24 Pargana,"4,094",13,185,527,725,17.71,636,0,
Purulia1,"6,259",31,308,530,869,13.88,72,20,
South 24 Pargana1,"9,960",980,752,"1,042","2,774",27.85,368,1,
Uttar Dinajpur,"3,140",0,2,241,243,7.74,67,0,
Grand Total,"88,752","2,971","4,146","9,688","16,805",18.93,"3,810",111,
