District,Geo-graphical Area,2013 Assessment - Very Dense Forest,2013 Assessment - Mod. Dense Forest,2013 Assessment - Open Forest,2013 Assessment - Total,Percent of GA,Change,Scrub
Araria,"2,830",0,11,146,157,5.55,69,0
Aurangabad,"3,305",0,63,92,155,4.69,4,13
Banka,"3,022",0,105,127,232,7.68,11,12
Begusarai,"1,918",0,30,53,83,4.33,40,0
Bhabua,"3,381",0,542,561,1103,32.62,41,8
Bhagalpur,"2,567",0,49,15,64,2.49,22,0
Bhojpur,"2,390",0,22,14,36,1.51,17,0
Buxar,"1,708",0,4,6,10,0.59,7,0
Darbhanga,"2,279",0,43,94,137,6.01,-48,0
Gaya,"4,976",0,141,465,606,12.18,-24,29
Gopalganj,"2,033",0,2,3,5,0.25,1,0
Jamui,"3,107",0,382,259,641,20.63,9,1
Jehanabad,"1,569",0,2,3,5,0.32,2,5
Katihar,"3,057",0,6,55,61,2,-1,0
Khagaria,"1,486",0,3,18,21,1.41,13,0
Kishanganj,"1,884",0,17,84,101,5.36,26,0
Lakhisarai,"1,356",0,181,20,201,14.82,7,3
Madhepura,"1,788",0,1,50,51,2.85,25,3
Madhubani,"3,501",0,39,159,198,5.66,62,0
Munger,"1,347",0,249,18,267,19.82,2,7
Muzaffarpur,"3,172",0,52,91,143,4.51,-34,0
Nalanda,"2,367",0,7,25,32,1.35,4,7
Nawada,"2,494",0,187,322,509,20.41,-1,10
Pashchimi Champaran,"5,228",247,550,101,898,17.18,-23,8
Patna,"3,202",0,21,4,25,0.78,9,0
Purbi Champaran,"3,968",0,68,88,156,3.93,-15,0
Purnia,"3,229",0,5,48,53,1.64,6,0
Rohtas,"3,832",0,334,370,704,18.37,-2,8
Saharsa,"1,680",0,4,28,32,1.9,21,0
Samastipur,"2,904",0,108,48,156,5.37,99,0
Saran,"2,641",0,28,27,55,2.08,0,0
Sheikhpura,612,0,1,0,1,0.16,1,1
Sheohar,572,0,3,26,29,5.07,10,0
Sitamarhi,"2,071",0,34,99,133,6.42,43,0
Siwan,"2,219",0,2,5,7,0.32,5,0
Supaul,"2,432",0,5,127,132,5.43,32,0
Vaishali,"2,036",0,79,13,92,4.52,6,0
Total,"94,163",247,"3,380","3,664","7,291",7.74,446,115
