District,Geo-graphical Area,2013 Assessment - Very Dense Forest,2013 Assessment - Mod. Dense Forest,2013 Assessment - Open Forest,2013 Assessment - Total,Percent of GA,Change,Scrub
Bastar1,"14,974","1,342","4,318","2,332","7,992",53.37,-19,10
Bilaspur1,8270,337,"1,621",531,"2,489",30.1,-5,6
Dantewara1,"17,634","1,082","6,159","4,077","11,318",64.18,-10,21
DurgT,"8,549",43,518,218,779,9.11,12,4
Janjigir-Champa,"3,852",4,26,125,155,4.02,0,2
Jashpur1,"5,838",111,"1,485",568,"2,164",37.07,0,11
Kanker1,"6,506",215,"2,042",828,"3,085",47.42,-9,2
Kawardha,"4,223",69,"1,124",386,"1,579",37.39,-6,4
Korba,"6,599",203,"2,305",837,"3,345",50.69,-4,6
Koriya,"6,604",79,"2,604","1,424","4,107",62.19,0,3
Mahasamund,"4,789",4,534,420,958,20,-2,8
Raigarh1,"7,086",126,"1,697",721,"2,544",35.9,-2,13
Raipur&Dhamtari,"16,468",189,"3,835","1,436","5,460",33.16,-1,7
Rajnandgaon1,"8,068",29,"1,764",725,"2,518",31.21,-2,4
Surguja1,"15,731",320,"4,833","1,975","7,128",45.31,-5,16
Grand Total,"1,35,191","4,153","34,865","16,603","55,621",41.14,-53,117
